Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
15,1466,3283,9498,14178,44140,40158,53988,125924,268122,770771,502441,1258405,1923017,2534689,3138959,3789951,4443249,5017626
16,1397,3283,9638,13131,27937,38972,57270,127950,251988,482884,509075,1261897,1879227,6488629,3142241,3742669,4392125,5630626
17,1467,3283,9638,75429,26680,38553,51473,415977,262814,385315,502231,1254563,1887049,6440298,3122685,3879069,4415941,5112191
18,1466,4260,9429,13969,27658,39111,50844,203798,249544,386782,504745,1258754,1881322,2490619,3121637,3770955,4461408,4993810
19,1956,3772,9499,13270,35689,48051,155397,749539,259740,396980,511659,1262246,1926510,2520581,3137561,3766275,4612685,5134890
20,1886,3841,9429,14317,26051,44419,51613,126343,254293,387201,507120,1262316,1877899,2532524,3123035,3749303,4631821,5178821
21,1466,3422,9638,15714,26260,38623,51822,128160,255969,382871,510961,1260011,1877341,2499629,3139377,3744625,4426766,5126509
22,1396,2864,9359,14318,28635,38552,51054,128858,257156,386433,589254,1259173,2134777,3034685,3261530,3778777,4791130,6348456
23,1886,3352,9987,14318,27727,69074,51543,766930,249544,389646,513196,1249185,1876363,3033917,3193854,3777869,4629727,5028731
24,1467,3422,9499,14177,27657,37645,157772,128578,253804,387830,504815,1284665,1874897,2515692,3141403,3746929,4503383,5061557
25,1886,2864,8591,14387,26121,38133,53429,762949,254014,422751,498319,1413802,1893753,2525051,3123593,3768720,4472234,5099271
26,1397,3842,10127,14527,25352,62229,51124,126902,254502,479601,502580,1263573,1880204,2514156,3158445,3750282,4779257,5118897
27,1816,3841,9917,13898,27867,62020,51543,762041,254293,385805,508865,1253446,1880064,2651883,3139168,3905678,4418246,5075525
28,1467,3841,9988,14248,27728,56012,52032,132699,254293,421563,502790,1258754,1901227,2498302,3137981,3801405,4379414,5258510
29,1467,3841,9917,14178,27657,61041,52032,132908,255759,381125,513545,1408005,1898154,2800995,3121079,3812370,4409516,5076293
30,1397,3771,10127,14457,27168,72914,53289,133467,254014,388040,510262,1246182,1871683,2519184,5366554,3752586,4405465,5037112
31,1397,2933,9918,14387,44769,61042,54476,676974,257994,430434,516548,1252328,11175904,3014989,3147059,3746929,4381788,5047379
32,1956,3702,9638,14597,29543,60134,53988,127741,414928,384966,512148,1250234,1876642,3015827,3126457,3812580,4472443,5001842
33,1955,4331,9498,14388,26260,61042,52521,128718,256179,386224,508098,1253446,1883417,2513527,3156628,3766834,4400506,5014413
34,1396,5797,9359,15645,28146,66699,50636,133467,268611,390065,502160,1496914,1895709,2521629,3135606,3802174,4385072,4989061
35,1815,3771,9499,14388,27866,65023,54336,715526,256947,394325,518085,1255471,1879086,2505286,3125130,3757405,4379972,5018115
36,1956,3771,9569,12990,26749,64882,53778,168528,264909,386503,501881,1263084,1879925,2509756,3482858,3781430,4412239,5006033
37,1886,3771,9638,13340,26191,64394,54336,129556,264769,387900,505582,1283129,1871962,2517369,3494173,3791348,4397224,5191322
38,1466,3771,8870,14527,26330,63905,51124,145968,270845,387481,502231,3565062,11298336,2555921,3121638,3747208,4437243,5140129
39,1886,3282,9987,14178,27658,38622,157144,126902,253804,758409,515919,3205656,1886559,6652826,3117377,3787506,4411123,5054642
40,1885,3771,9918,14388,41765,49099,54127,126832,254363,385106,508586,1502502,1904370,6385193,3127993,3742110,4390798,5023842
41,1955,3283,6774,13061,43022,38413,53499,126833,254223,383221,509703,1264621,11213339,2522467,3170806,3803431,4396595,5177913
42,978,3841,6216,12851,44978,40019,53778,160286,253525,385315,514802,1247370,1869239,2500816,3189105,3741970,4453237,5111284
43,1396,3841,6286,14457,44140,39041,51404,202540,256668,385385,511380,1315047,1904020,2519324,3135117,3762364,4446322,5103881
44,1467,3771,6565,14108,44629,37505,158819,210782,266795,385525,508517,1266227,1874827,2556689,3124641,3801056,4389471,5120084
45,1886,3423,6216,14317,43511,38133,53848,132420,266515,385525,503417,1251351,1918547,2540067,3152577,3763970,4618062,5921795
46,1397,3772,6565,14318,42464,38064,62019,127321,254293,385316,516618,1346056,1870566,3118565,3493684,3787507,4468672,5103811
47,1886,3771,6216,14597,49029,38203,50984,412275,255759,394325,520319,1248068,1884185,2975040,3488166,3804688,4448068,5008616
48,1886,3841,6146,14387,42534,37644,50985,201283,253874,388039,508167,1254005,11298336,2503470,3150272,3765856,4538443,5134401
49,1467,2864,6216,14736,42324,44209,50705,125365,254084,753869,502859,1269230,1878249,2590353,3136514,3742739,4476004,5026706
50,1397,2934,10965,14108,41975,45816,50635,130953,251360,428548,507958,1271116,1902624,2515692,3467563,4190842,4485573,6006024
51,1886,3282,5797,13480,26820,59226,50775,124668,253105,402427,511170,1252677,1880135,2507452,3521410,3768999,4441503,4989270
52,1886,3842,5238,12781,27447,39111,50914,132140,255690,390833,511939,1259522,1886769,3005910,3492776,3767253,4382627,5073499
53,977,3772,5238,18508,37645,116356,51753,126762,252757,383081,507539,1247789,5815915,2998298,3129390,3796028,4381719,4998630
54,1885,3841,6635,12711,26121,44908,158540,133607,257087,385386,560269,1286062,1896198,2497744,3140634,3762015,4409166,5005334
55,1816,3283,6285,14317,26679,37784,53359,129346,255690,397818,502440,1249744,1897176,2512270,3177511,3781570,4402042,5214160
56,1816,3911,6356,13270,30311,38133,53708,125436,255271,385596,501881,1254005,2110542,2506682,3132742,3824174,4443459,5024331
57,978,3771,6705,13131,30520,38203,53987,201703,262115,389087,502021,1248278,1894312,7127679,3177022,3749164,4448766,5109258
58,1955,3842,6146,14667,27098,47004,50845,125924,254014,399354,507748,1246671,1867702,6463416,3150971,3793792,4392404,5028103
59,1956,3771,5239,14387,26120,62509,159727,129766,305487,385316,502580,1452774,1895360,2505985,3124990,3741690,4383605,4993321
60,1886,3772,6285,13829,26610,37715,71867,130185,307652,387760,525068,1247999,1893125,2522187,3177441,3783037,4429490,5217512
61,1886,3841,6705,12850,26260,62019,51613,161124,265677,382871,509773,1615295,1946972,2499489,3150273,3783666,4461059,5202357
62,1397,4260,6285,13200,27308,38064,51403,354934,254293,388668,514662,1257916,1869728,2511152,3128132,3820193,4370544,5532359
63,908,3842,6286,14596,26190,39181,50985,143105,261906,389785,502580,1250233,1876922,6915151,3139447,3745532,4448278,5087258
64,1397,4191,6285,14317,27587,43301,153721,126763,260090,400960,563202,1252119,1882159,6772255,3163612,3773329,4402392,5034667
65,1467,3911,5727,15784,27727,38063,53428,204147,265258,387621,559431,1260849,1879715,6888052,3127574,3754123,4477332,5185106
66,1956,3771,6146,14318,35270,40438,53708,210153,261347,387690,512148,1255611,1879156,2554664,3121219,3755101,4377109,5034319
67,1397,3283,5727,14666,26260,38134,53917,129486,262674,387900,503069,1268182,1882579,2588468,3125130,3831228,4399180,5102135
68,1885,4330,6495,14248,27727,39041,51054,129835,260300,387341,504535,1250932,1894731,2497743,3167593,3770046,4382207,5042560
69,1886,3282,6216,14387,44000,40438,158820,133397,257366,385176,502091,1261757,11385499,2511432,3131346,3773469,4515744,5109398
70,1885,3841,6216,14318,32686,38552,53848,130744,269798,723419,526675,1324475,5772473,2502143,3145104,3779824,4603116,5169392
71,1955,3771,6635,14178,77175,39739,53988,135074,284534,401658,509703,1254424,1904509,2546144,3129320,3745113,4425300,5133772
72,1885,5727,6146,14108,26190,44768,54756,128159,255062,424916,511729,1253795,1895919,2501794,3121288,3789043,4378994,5012947
73,978,2794,5098,23397,26820,45258,51054,126902,264280,495665,502440,1256031,1869029,2508359,3178558,3749862,4392474,5007499
74,978,5308,6705,12851,27099,46166,158819,126273,260439,677393,516688,1248068,1921829,2986914,3150622,3817050,4375153,5061906
75,1816,4750,6146,12920,25562,45327,51194,205125,260509,385246,500834,1258475,1886490,2991802,3216203,3759501,4386259,5051080
76,1886,5168,6216,13689,26260,45886,51124,201213,259810,380288,502091,1246951,1964014,2500955,3128971,3765368,4373966,5078109
77,1397,5238,6635,14737,27517,45467,53918,127111,255690,387690,502649,1258894,1894382,2501374,3477969,3748884,4368239,5003728
78,1885,4819,6705,14387,27238,38273,81994,135073,254432,387202,502021,1266297,1888306,2516181,3484324,3752377,4405744,5020978
79,1886,5169,6705,22070,27517,37505,139194,128508,255271,399842,501811,1262805,1899061,2560042,3122755,3759989,4417966,5095011
80,1397,5169,6705,21931,32895,40368,89677,132141,267074,395024,502300,1301846,1872592,2603833,3142171,3808249,4429142,5013296
81,1886,3841,7264,22628,26260,38063,89117,126902,271405,383919,509843,1259382,1883487,2505495,3168990,3827457,4402741,5000934
82,1956,5308,5238,22698,30800,37435,86883,143454,254293,403405,513614,1458222,1878807,2489851,3123035,3811183,4417477,5089284
83,907,5168,6216,22140,25562,39530,85905,127321,258624,418141,502231,1262804,1873918,2523444,3152787,3823755,4424462,4994020
84,977,4261,6146,23816,26191,37295,137868,127111,260090,396001,504395,1249465,1868959,2555502,3121219,3861539,4455961,5275691
85,1956,5727,5238,22559,26610,44908,82902,146458,258763,395583,502371,1247649,1880973,2491248,3120870,3811882,4374245,5076992
86,1396,6565,5657,23676,44419,45607,89676,145969,266585,382522,511660,3238971,1894731,2490061,3131415,3769278,4450722,5005962
87,1466,5727,6635,22629,34293,45677,87302,769514,270636,382802,502230,1281383,1874128,2519394,3335214,4353712,4422716,5122109
88,1466,6565,6635,22210,26540,49797,82343,132210,258623,385246,502440,1258125,1886839,2494600,3137492,3804409,4384792,5053804
89,978,6635,6286,21860,26330,45816,140033,132000,258553,384058,504955,1375389,1878039,2502283,3151111,3775076,4400367,5073639
90,1886,6216,5727,22210,33384,46096,93028,132210,263093,378471,502370,1255402,10954925,6728673,3125549,3785203,4372779,5064210
91,1466,4749,5797,22350,25701,39251,82483,131023,423938,630948,509983,1267903,1867772,6834274,3142800,3793723,4415802,5022865
92,978,4749,6705,23676,26680,38832,82133,139613,259950,380846,514522,1281732,1915963,2531616,3152717,3766624,4466507,5076642
93,1955,6285,40368,22210,27308,40508,50845,232782,262115,378332,520879,1263294,1891797,2997669,3141193,3792186,4448976,5023143
94,1396,5658,6356,21092,26190,39461,156934,126832,263373,385246,502091,1324475,1870705,3003536,3146571,3786879,4411961,5014972
95,1397,5588,6286,20882,26121,39181,52241,132001,271474,393697,502929,1254214,1919735,6495403,3122476,3754192,4407421,4993740
96,1956,5168,6216,23397,28146,40648,53429,131791,260439,384827,513335,1242900,1881601,6441346,3137213,3762154,4407141,4993112
97,1886,4261,6285,23746,26261,43302,53219,125226,254781,385036,502161,1265878,1878179,2493972,3133301,3853856,4414823,5011899
98,1815,18577,5307,21581,26121,41905,81855,125924,258833,402287,502509,3999756,1883836,2500676,3137981,3890733,4364049,5046680
99,1955,4749,5727,31988,27658,44908,138147,131233,258623,378541,505024,1248208,2036509,2543978,3151739,3851761,4439897,5032362
