Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
22,2375,6146,13968,32896,63277,95334,127740,314846,631856,988747,1513816,3133650,4744127,6154577,7998812,9557466,11127504,12692304
23,1467,6635,13898,32825,63835,101340,123968,324763,625222,1056004,1561657,3040621,4590895,6130761,7634309,9197363,10813217,12242105
24,2375,7123,14317,33384,63416,89607,139055,325951,637793,1182487,1589594,3063389,4564983,6392806,7975486,9418830,11762084,12701593
25,2304,7054,14108,32895,64394,102667,128159,321970,628783,1253796,1427421,3157467,4589078,6121401,7622017,9248557,10815941,12226741
26,2305,6635,13829,33175,64394,100222,127321,318617,633043,1252818,1241713,3043346,4758444,6116793,7928831,9565079,11119263,12419573
27,2374,7054,13828,32895,65232,98966,126972,310934,633392,1181090,1231376,3043135,4624488,6187611,7598829,9145192,10662499,12376829
28,1955,7263,13969,31010,62927,100083,128718,308770,629133,1239827,1209586,3475385,4598577,6103103,8001047,9462132,11114514,12494862
29,2374,7613,13689,33175,64882,98756,130394,318477,634930,1215243,1213218,3048443,4801467,6114417,7625788,9186328,10663407,12289109
30,2305,7264,13689,32406,65372,100222,129556,316732,632974,1072416,1233402,3061574,4599136,6231332,8526605,9523662,10956881,12489903
31,1467,7194,13898,32895,80247,100921,129346,319874,681863,1000480,1243459,3063739,4895543,6115744,7619363,9157693,10683242,12175406
32,2933,7194,13759,31289,62439,174814,128159,320294,673971,1085547,1256869,3058292,4616596,6295447,7931485,9811061,11414413,12770456
33,1886,7613,13828,32896,63835,103645,132070,321970,649946,1267065,1238151,3061923,4605631,6096468,7626278,9269369,10694766,12174359
34,2375,7473,14457,32966,65301,102109,130324,320153,643939,1036518,1232564,3172342,4727155,6108830,7657637,9523034,11194901,12726457
35,2375,6984,13759,33175,64673,102667,128578,323855,636885,1019756,1233262,3059688,4584818,6392247,7804233,9158670,10721864,12319839
36,2375,7264,13759,33384,70540,103645,128159,318268,617609,1202881,1228722,3064926,4573993,6153738,7643039,9339910,11282063,12652355
37,2375,7123,13689,33804,65092,103016,131163,316172,635628,1210214,1220970,3092304,4571618,6158069,8000838,9157693,10693439,12432423
38,1886,6775,14527,31498,64394,102248,121595,320782,650853,1078912,1216570,3070374,4797625,6275752,7625440,9610964,11011637,12594456
