Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
19,3912,12852,24306,45889,82139,132498,168400,687985,1795186,2301710,3811015,7671553,12648513,14527427,16635670,26191686,22140245,26214218
20,4330,8241,20465,59579,86330,134384,183835,1147153,1439320,1869503,2711288,8583744,16395341,16088449,18402938,23950652,22633765,26834225
21,3841,14039,18649,43864,79695,146677,193473,619046,2219361,1954505,3637169,7313870,16014609,13480882,15949489,24314187,21363024,25782932
22,2445,8592,23049,45679,165536,130892,186559,760345,1529072,1894926,2501051,6084578,18857767,17406914,16926028,25644538,19489569,26796528
23,4331,8102,22001,49661,92825,127120,171682,775082,1830528,2638299,3592048,7500499,11037650,15274019,17758864,22082995,22757105,26664205
24,5727,8521,22002,49172,81650,139274,162951,2426105,1139610,1928033,3341719,7631601,10848437,13749724,15827793,25650284,22198249,21817107
25,3842,8521,19627,50499,80951,163999,166653,758459,1868455,3057515,3731321,6773610,12189903,15734325,16952090,19169280,21736390,27082669
26,3842,7683,15855,42466,84933,132847,167002,744141,1438063,2183600,2896031,7331821,11040794,12591119,17002854,22161651,19075138,24263866
27,3841,9429,20465,40581,82139,125792,172800,1146245,1836674,2244297,5058957,6981054,12620505,13148818,18510942,19833659,25499757,24890355
28,4750,13270,21303,55807,82838,132568,175523,727028,1177256,2051241,4234353,5405603,14579550,15794656,19329953,23587590,22324479,24152282
29,3353,8591,21303,39044,85282,318568,169586,966461,1822146,2093639,3133438,6059085,11449953,16795415,17593769,20704249,23902978,27709675
30,3282,11385,21442,41139,83676,131730,308580,701046,1377366,2142880,3307425,5347562,13145259,16405508,17414451,22190306,20994808,26513137
31,3352,11036,17112,40441,83676,164139,371721,652293,1872296,2444685,3155719,5868753,10761409,18323344,18835589,22961179,25607053,24184707
32,13969,11385,17322,42886,83536,125793,179015,648801,1640407,2563982,4013989,8846365,10831256,17177520,18849432,20808381,24384786,23513945
33,3841,9988,20884,44772,162811,306765,189912,634063,2342361,2157059,3192598,6404195,10847320,15327203,17019869,25529138,25692351,26467840
34,3353,8661,17182,39952,139832,146119,342525,745118,1789807,2304644,3556077,6030378,11372983,17567986,20109548,21611237,23406163,24422929
