24,172956,178312,206111,344750,515434,691752,13,12,16,31,62,134
"
",,,,,,,,,,,,
unlink and insert,,,,,,,,,,,,
n,llist,llist,llist,llist,llist,llist,dllist,dllist,dllist,dllist,dllist,dllist
0,42,212,1787,11439,19502,28230,18,15,12,17,14,26
1,44,209,1755,12533,19327,28674,20,13,11,33,19,19
2,38,203,2089,11042,20318,28827,19,16,12,13,13,14
3,24,203,1908,11651,19907,29121,18,14,10,14,12,206
4,19,201,1735,10988,19748,28703,18,13,14,13,22,28
5,20,204,1734,10720,19500,28420,18,14,16,17,17,21
6,19,206,1776,10342,19378,28710,19,14,11,22,17,50
7,20,201,1731,10364,19238,28780,18,13,17,15,23,21
8,18,219,1748,10589,19569,28580,20,13,11,13,18,27
9,19,204,1715,10681,19891,28800,18,15,10,23,13,23
10,18,205,1716,10945,19244,28174,21,14,11,23,33,33
11,19,262,1719,11230,19442,29133,18,14,11,26,15,14
12,18,244,1717,10575,19342,28699,21,15,11,27,15,24
13,37,211,1870,10325,19829,28563,20,14,11,24,13,37
14,33,379,1716,10349,19699,28711,20,14,11,23,12,24
15,25,203,1721,10361,19951,29067,19,14,11,14,13,16
16,21,201,1736,10941,19544,30197,19,15,11,25,13,24
17,21,202,1732,10386,19542,29289,18,14,11,20,16,24
18,21,223,1833,10310,19439,28425,19,14,11,17,23,18
19,20,204,1745,11190,20012,29562,18,15,11,16,25,17
20,21,205,1775,10622,19562,29129,18,14,11,14,19,40
21,20,216,1736,10358,19795,28897,19,14,12,12,20,15
22,21,187,1740,11655,19679,29630,18,14,11,12,73,25
23,20,330,1770,10338,19498,28644,21,14,11,23,23,17
24,20,194,1930,10396,19321,28768,18,14,10,13,26,28
25,21,189,1934,10431,19302,29459,21,14,10,12,20,15
26,20,189,1798,10384,19303,28432,23,13,12,13,17,30
27,22,244,1744,11016,19273,28571,22,15,11,15,27,17
28,19,192,1733,11065,19351,28621,17,14,11,14,25,14
29,22,214,1733,10837,19242,28913,18,13,10,16,21,16
30,20,196,1760,10941,19359,29268,18,14,11,11,26,22
31,21,203,1726,10519,19349,28453,21,14,11,14,25,32
32,20,197,1744,11514,19536,29239,19,14,15,20,26,30
33,21,202,1753,11428,19197,28208,21,14,15,22,27,29
34,19,194,1746,10500,20917,28617,19,13,12,13,14,20
35,21,193,1994,11846,19426,29238,37,14,11,16,16,19
36,20,191,2285,10346,19384,29235,19,13,11,14,15,19
37,21,192,1777,10852,19343,28734,18,14,11,12,14,18
38,20,191,1819,10761,19834,28543,23,13,167,12,15,31
39,21,190,1745,10751,19902,29681,671,13,12,14,14,31
40,19,200,1724,11322,19331,28827,366,12,11,31,19,29
41,21,189,1755,10609,19827,29087,22,13,12,26,18,27
42,19,209,1728,10538,19235,28915,20,14,16,19,13,26
43,22,189,1813,11496,19520,29420,19,14,16,21,26,28
44,19,190,1761,10498,20136,29598,18,14,15,60,18,27
45,21,190,1997,10864,19852,28582,19,15,14,20,14,24
46,19,188,2016,10317,19315,28673,20,13,14,23,18,21
47,21,190,2002,10565,19374,29943,21,14,16,22,13,18
48,19,190,1731,10519,19646,28338,21,14,17,24,13,29
49,22,187,1745,10415,19513,28888,20,14,16,22,13,31
50,20,190,1747,10343,20283,30959,20,14,16,22,21,19
51,22,189,1898,10740,20534,28930,18,14,16,22,21,17
52,18,188,1790,10369,20127,28764,20,15,17,22,17,32
53,21,189,1756,10446,20172,29243,20,14,17,22,14,22
54,19,190,1827,10411,19482,28432,20,14,11,33,13,24
55,20,229,1916,10676,19621,28795,19,13,12,30,20,25
56,25,203,1728,11173,19453,28867,20,14,11,24,14,33
