repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
165,39,59,98,231,172,222,446,762,0,0,0,0,0,0,0,0
166,38,57,93,92,170,203,508,588,0,0,0,0,0,0,0,0
167,40,57,98,92,176,216,459,721,0,0,0,0,0,0,0,0
168,36,58,93,91,176,203,402,654,0,0,0,0,0,0,0,0
169,38,57,94,91,211,206,357,675,0,0,0,0,0,0,0,0
170,39,57,96,93,163,221,514,547,0,0,0,0,0,0,0,0
171,36,59,96,89,175,274,475,594,0,0,0,0,0,0,0,0
172,37,56,96,92,180,236,502,629,0,0,0,0,0,0,0,0
173,37,59,94,90,177,263,539,656,0,0,0,0,0,0,0,0
174,37,71,94,91,176,205,461,554,0,0,0,0,0,0,0,0
175,38,56,96,92,175,200,404,738,0,0,0,0,0,0,0,0
176,38,76,96,188,173,213,521,632,0,0,0,0,0,0,0,0
177,40,58,252,92,169,207,519,562,0,0,0,0,0,0,0,0
178,37,57,96,92,168,204,507,688,0,0,0,0,0,0,0,0
179,38,58,95,90,169,219,542,609,0,0,0,0,0,0,0,0
180,39,57,94,92,170,215,536,730,0,0,0,0,0,0,0,0
181,39,58,88,109,168,230,563,621,0,0,0,0,0,0,0,0
182,38,66,93,92,176,221,469,611,0,0,0,0,0,0,0,0
183,38,58,91,91,170,213,502,627,0,0,0,0,0,0,0,0
184,38,60,91,92,168,209,457,615,0,0,0,0,0,0,0,0
185,36,59,101,91,180,204,452,675,0,0,0,0,0,0,0,0
186,37,59,95,90,169,212,461,568,0,0,0,0,0,0,0,0
187,35,58,96,226,182,243,406,552,0,0,0,0,0,0,0,0
188,37,58,91,92,169,232,521,631,0,0,0,0,0,0,0,0
189,36,59,100,89,176,207,466,578,0,0,0,0,0,0,0,0
190,36,58,91,90,177,229,532,589,0,0,0,0,0,0,0,0
191,37,60,90,90,168,205,343,602,0,0,0,0,0,0,0,0
192,38,57,95,94,170,216,453,568,0,0,0,0,0,0,0,0
193,41,58,96,93,174,242,499,588,0,0,0,0,0,0,0,0
194,43,59,115,119,166,219,475,743,0,0,0,0,0,0,0,0
195,44,58,95,92,174,218,477,609,0,0,0,0,0,0,0,0
196,38,58,94,91,173,216,429,622,0,0,0,0,0,0,0,0
197,38,60,94,92,166,217,540,566,0,0,0,0,0,0,0,0
198,46,57,96,184,184,207,579,607,0,0,0,0,0,0,0,0
199,35,57,94,123,186,199,480,554,0,0,0,0,0,0,0,0
200,36,58,99,92,175,208,489,565,0,0,0,0,0,0,0,0
201,36,58,101,91,158,210,483,659,0,0,0,0,0,0,0,0
202,37,63,85,91,179,293,413,621,0,0,0,0,0,0,0,0
203,37,73,83,93,169,201,545,614,0,0,0,0,0,0,0,0
204,41,72,82,91,190,208,485,617,0,0,0,0,0,0,0,0
205,44,78,81,100,176,210,448,660,0,0,0,0,0,0,0,0
206,44,71,81,88,180,216,502,650,0,0,0,0,0,0,0,0
207,42,71,82,92,173,203,445,590,0,0,0,0,0,0,0,0
208,40,71,82,92,191,202,526,622,0,0,0,0,0,0,0,0
209,37,71,81,116,181,209,490,619,0,0,0,0,0,0,0,0
210,38,59,96,122,170,208,487,585,0,0,0,0,0,0,0,0
211,37,59,84,94,167,223,489,661,0,0,0,0,0,0,0,0
212,37,59,83,91,183,256,551,649,0,0,0,0,0,0,0,0
213,38,57,84,93,174,211,580,562,0,0,0,0,0,0,0,0
214,38,60,86,91,167,219,537,596,0,0,0,0,0,0,0,0
215,38,59,81,89,177,204,417,648,0,0,0,0,0,0,0,0
216,37,57,83,91,200,201,440,600,0,0,0,0,0,0,0,0
217,37,58,82,94,166,202,481,555,0,0,0,0,0,0,0,0
218,36,57,86,95,172,203,511,601,0,0,0,0,0,0,0,0
219,36,57,82,93,192,196,504,587,0,0,0,0,0,0,0,0
220,39,59,84,119,168,199,412,596,0,0,0,0,0,0,0,0
221,41,58,82,93,169,205,413,605,0,0,0,0,0,0,0,0
222,37,59,83,95,169,214,519,617,0,0,0,0,0,0,0,0
223,42,59,81,101,174,212,417,629,0,0,0,0,0,0,0,0
224,39,57,96,92,172,201,509,706,0,0,0,0,0,0,0,0
225,36,56,81,91,176,216,526,638,0,0,0,0,0,0,0,0
226,37,58,83,93,179,200,810,613,0,0,0,0,0,0,0,0
227,37,58,81,95,183,201,456,614,0,0,0,0,0,0,0,0
228,39,59,82,93,167,207,504,636,0,0,0,0,0,0,0,0
229,38,58,85,105,173,196,477,529,0,0,0,0,0,0,0,0
230,37,59,82,92,171,211,738,580,0,0,0,0,0,0,0,0
231,40,58,83,200,170,210,496,641,0,0,0,0,0,0,0,0
232,39,57,83,91,172,212,429,605,0,0,0,0,0,0,0,0
233,36,59,84,90,188,224,471,591,0,0,0,0,0,0,0,0
234,39,58,84,92,170,209,491,557,0,0,0,0,0,0,0,0
235,43,59,81,91,175,231,349,611,0,0,0,0,0,0,0,0
236,42,64,81,91,174,218,541,672,0,0,0,0,0,0,0,0
237,44,58,81,91,194,212,441,539,0,0,0,0,0,0,0,0
238,42,58,81,117,166,214,540,569,0,0,0,0,0,0,0,0
239,40,57,80,91,174,209,542,766,0,0,0,0,0,0,0,0
240,37,57,82,92,179,243,611,578,0,0,0,0,0,0,0,0
241,40,57,81,94,178,229,488,675,0,0,0,0,0,0,0,0
242,44,60,83,126,167,207,421,610,0,0,0,0,0,0,0,0
243,42,58,92,102,183,209,507,1224,0,0,0,0,0,0,0,0
244,42,58,82,90,165,202,545,602,0,0,0,0,0,0,0,0
245,37,58,80,96,172,203,470,556,0,0,0,0,0,0,0,0
246,36,59,83,91,179,208,530,661,0,0,0,0,0,0,0,0
247,37,58,119,92,203,210,466,612,0,0,0,0,0,0,0,0
248,38,59,81,92,174,203,459,1078,0,0,0,0,0,0,0,0
249,37,60,81,101,184,209,450,588,0,0,0,0,0,0,0,0
