repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
198,18,91,490,1097,8974,20483,223711,604706,84,111,597,1268,8773,18457,149001,442610
199,11,95,483,1099,9112,20060,196548,586617,13,120,595,1196,8493,18353,154138,430431
200,11,96,480,1356,8722,19865,207074,606121,12,119,568,1400,8139,18767,148560,427229
201,10,93,480,1206,9379,20331,208023,622857,12,118,660,1171,9424,20052,155908,444633
202,10,94,557,1161,8596,20643,213522,610989,12,113,1067,1210,8329,19173,147337,432342
203,11,98,521,1217,8475,20421,204999,587849,12,127,578,1278,7846,18608,153208,414639
204,11,92,477,1097,8770,19836,206506,595023,13,116,568,1158,7973,18203,150268,441913
205,11,94,492,1261,8511,19233,200614,587524,12,113,594,1588,7843,18703,143718,413625
206,10,103,471,1101,8581,19612,207746,599887,12,123,562,1178,8041,17899,159427,411067
207,10,105,500,1135,8424,20241,206371,606937,12,114,579,1184,8459,18395,149831,437292
208,10,94,496,1185,8642,20625,208662,626607,12,117,577,1230,7996,17944,146914,466601
209,13,94,542,1222,8644,21669,216476,576648,16,113,738,1211,8011,18866,144756,417380
210,10,94,537,1154,8848,20962,199186,607935,12,114,574,1251,8390,19032,152762,415466
211,12,94,504,1170,8738,21742,221267,598141,17,116,572,1191,8157,18518,165134,448137
212,11,95,503,1203,8723,20888,203822,627758,12,113,650,1230,8144,18007,155809,425753
213,10,131,490,1181,8623,20214,199016,604359,13,396,564,1354,8458,18576,164720,475484
214,10,97,535,1122,8570,21045,198939,597271,12,113,611,1207,8368,18726,145041,459769
215,10,95,486,1231,8508,20053,196446,582051,14,112,563,1222,7918,18016,150162,418126
216,10,101,488,1338,9112,20168,212664,616764,12,127,563,1367,8625,18461,149621,457891
217,11,94,602,1108,8520,20752,212782,620204,12,111,760,1286,8025,18422,157211,444908
218,11,94,569,1091,8429,19665,192553,604527,12,117,582,1188,8062,17672,149459,429345
219,9,94,499,1083,9113,19312,200191,590353,12,110,595,1227,8912,17861,143029,411935
220,41,92,515,1096,8508,19825,203131,580420,19,110,675,1188,8254,18529,144022,441989
221,11,104,483,1078,8858,20406,195265,617050,15,116,581,1206,8482,18839,147293,439847
222,11,110,485,1248,8835,20035,212282,594076,14,135,585,1375,8110,18583,143030,432129
223,10,137,512,1134,8486,19894,203800,588101,15,386,579,1243,8349,18616,149909,423366
224,11,96,542,1090,8317,20216,203206,616930,15,117,588,1233,7773,19190,153957,434144
225,11,94,525,1095,9673,19723,201929,610619,13,117,581,1202,9191,18422,147976,433006
226,11,99,512,1152,8688,20155,208857,603478,12,124,592,1319,8479,18726,151281,434120
227,10,92,568,1389,8722,21890,200560,585063,12,114,586,1387,7939,19008,154308,417801
228,10,93,562,1122,8760,20240,200075,594981,13,112,597,1196,7785,19151,151940,412586
229,11,93,532,1190,8772,20138,204290,577662,12,112,663,1169,8023,18771,145490,425370
230,10,94,504,1106,8652,19672,206823,574374,12,113,593,1166,8262,19003,146538,413700
