repeat,lookup-100,add-100,lookup-1000,add-1000,lookup-10000,add-10000,lookup-100000,add-100000,lookup-1000000,add-1000000,lookup-10000000,add-10000000
29,9355,11312,11036,11990,9585,10832,11456,12363,16288,15615,24727,24907
30,8342,9686,10855,12311,10751,13123,12495,11869,16298,18097,23511,24907
31,9646,9682,12853,10830,10449,10688,11129,11757,15562,16747,23338,24704
32,9283,9414,12837,13109,10928,12247,12047,13309,16160,17298,26117,24534
33,10791,9626,11931,14072,10624,10972,12450,11846,16688,15889,23863,24237
34,8793,9853,10968,12342,10356,11946,12036,13588,16491,16428,24151,23841
35,11228,8984,11641,13800,14133,11472,13533,11514,17628,18501,24232,24445
36,10179,10868,12840,11748,11296,13117,13036,12940,16158,17539,23765,24728
37,10703,10243,11267,13007,12187,12858,12666,15536,16971,17580,24750,24397
38,11145,11200,12638,12794,10328,11508,13436,12584,17556,16962,23654,25229
39,11361,10977,11791,12547,11947,13410,12473,13561,17152,16249,24089,23972
40,12440,11322,12272,13503,11901,12300,12889,14680,15858,17118,24265,23698
41,12531,12837,14768,12247,11343,13603,13725,12966,19036,17628,23928,23699
42,10759,11053,12926,14447,12624,13479,12564,13771,16390,18205,25723,24341
43,10934,13229,14914,16449,12094,13945,13698,14074,16477,18119,23200,25741
44,12124,11788,14021,14370,12762,14462,14264,14603,17302,16890,23869,25518
45,10841,12336,12055,13410,13639,12351,12858,14165,17083,17077,24311,24735
46,13045,10827,13086,15123,12968,13488,15754,14515,18329,17406,24194,23781
47,14470,14619,14173,13005,13725,16324,16467,17397,16431,17813,23788,23889
48,13254,15641,12632,14176,14151,13399,13356,14619,16626,18872,23918,26512
49,13992,11689,14134,15166,12646,14415,13569,16205,18172,17999,23987,24985
50,11693,13836,16466,14746,12900,15317,16035,13072,18084,18391,24219,24436
51,14442,13472,16238,18048,16734,13171,14289,14739,17439,17581,24553,24112
52,13043,13186,13318,15342,13290,16516,13888,15061,17430,17502,24233,24120
53,12506,12598,13667,15084,13301,15993,14584,15010,17277,17395,23951,26120
54,12967,12495,14994,14254,14848,15312,17653,14703,16757,18310,23744,24493
55,13907,11977,13354,14651,15343,14299,14929,15308,17727,18078,24386,25253
56,13240,15988,16405,17991,12709,15575,14689,15701,17638,19142,24539,24688
57,13271,13038,13769,16129,14096,15016,14770,14811,18640,18156,24941,24797
58,13326,14112,15223,13906,14690,14153,15229,14517,18256,17071,24785,25121
59,12938,15065,13328,14860,13922,14629,14002,15275,17942,18683,24023,24645
60,14417,14034,16445,15932,14039,15781,15054,16081,17682,18089,26369,24978
61,12753,13118,16071,16372,15891,13747,16019,14730,17401,18676,25723,26846
62,13444,14820,15586,14678,13799,14906,14913,15253,17458,18299,24530,24555
63,13486,13614,14197,15829,14174,15865,14489,16675,18656,18885,23958,26481
64,12314,13228,15055,16244,15987,17726,15591,18951,18151,19208,24008,25102
65,12843,14444,15075,14721,15720,14850,15719,15814,18188,17961,23595,25144
66,14106,13464,14617,15032,14433,16231,15707,15164,18772,17963,24220,25172
67,12869,14083,16147,16459,14272,16364,14586,16349,18261,17963,24396,24530
68,14332,14919,15492,17696,15277,15984,15178,16323,17338,18324,25094,25464
69,15164,15370,16470,15715,15282,15035,16457,16079,19009,18842,24404,25493
70,12460,13949,15403,15155,15053,15796,18414,16073,17698,19664,24294,24568
71,13181,14803,14702,16353,15324,18432,15022,16132,17587,19370,24426,25614
72,15060,13983,15932,16694,15042,17279,15734,17569,18189,18794,24878,24781
73,12629,13863,15984,16143,15926,14683,15673,16639,18090,18487,25472,26510
74,13372,15154,16557,15427,14681,16092,17625,16250,18897,18612,24161,24685
75,17085,17239,15004,15990,14782,17398,16248,16156,18834,17978,24010,24993
76,14564,14489,17273,18017,15571,16770,16407,16478,18761,18537,24090,25054
77,14349,13793,16210,17823,16948,15465,15977,17360,19315,20453,24393,24826
78,13726,15837,16982,16313,15485,15654,18332,19452,18226,19254,26259,24730
79,14762,13752,16429,16272,15528,16663,18620,19720,17770,19563,24641,25163
80,13903,14538,15596,16739,15974,19071,18133,16583,18667,19477,23701,25296
81,13985,15216,16676,19905,16479,16715,16786,16284,18110,19929,24112,25478
82,15425,13365,16523,18276,16735,16440,15752,17836,19021,19111,24016,24796
83,13498,15159,17211,19642,17062,17453,16064,17929,18798,20623,25275,25675
84,14272,15741,16195,16377,16567,17738,16490,17123,18895,19186,25154,24578
85,15715,14331,16506,15970,15917,18858,17552,18872,19727,18837,23594,25100
86,15007,15330,15561,17054,17266,19045,17887,16832,19555,18993,23928,25281
87,13707,15350,16660,18108,17522,17890,17036,17264,19416,19155,23979,25084
88,13985,15520,16499,17432,17215,16663,16025,17068,19112,19021,26414,24408
89,15713,14979,17635,16106,16557,17483,16373,18318,19300,19502,39798,36745
90,14892,14618,16496,16356,16529,17147,17048,17780,19824,20356,38172,40986
91,16305,16006,17093,19092,16183,18027,17866,17273,18446,19574,39686,40847
92,15217,17805,16144,18173,17057,17553,19361,17008,18847,20065,26571,37350
93,15361,14994,16924,18138,17726,19150,19615,17825,18535,20023,24586,25815
94,17398,15957,16682,16983,20391,17290,17964,18978,18518,20098,24402,26250
95,14125,15920,16654,15651,18661,18451,17508,18021,19473,20502,24625,25224
96,14603,16293,16031,16512,17204,18584,17021,19252,19184,21315,26976,24729
97,15929,15828,17375,17138,17664,19380,17655,18515,18925,19816,24897,25522
98,13962,15220,16533,18575,16990,19366,17930,18479,19942,19548,24231,25983
99,14926,16737,16245,16599,17802,18752,18866,19785,19039,19858,24239,25798
100,15590,16141,17385,16614,18388,21095,18650,18047,19598,19749,24911,25627
101,18283,17427,18839,19499,19155,22220,20379,20740,21606,22281,26212,29856
102,17701,16642,16760,17753,18707,19868,19134,18641,20936,21332,24408,26123
103,16598,17157,15776,17880,19248,18914,17828,18169,19715,21010,25063,25686
104,15511,17000,16342,18010,19870,20351,18362,18812,20207,20106,25282,25998
105,15353,16298,18141,17390,19833,18294,17130,18883,20138,19395,25370,24652
106,16749,15283,17428,17831,19205,19566,17525,19568,20667,19705,25612,26467
107,15237,15780,17373,16556,19847,19042,18727,21577,19960,19634,26120,26949
108,15309,16334,16042,16990,19253,19750,18164,19454,20947,21177,25725,26611
109,15294,16812,16631,17343,19981,21031,18863,18713,19840,19834,25600,24985
110,16617,17410,16802,17822,18262,19111,19106,17874,20169,19669,26656,25662
111,16202,15532,22541,18460,17747,19544,19041,18554,20413,21335,24258,27719
112,15737,16248,17679,21175,17294,20079,20668,18798,20286,19993,25293,26328
113,15365,16901,17999,16559,20325,39922,19571,18785,19760,19916,26166,25266
114,16329,16436,17880,16720,18627,18231,18676,19372,20698,20686,25180,25605
115,16150,15785,16693,17587,18082,18846,18421,19165,20916,22256,24874,26437
116,16337,16815,16971,17794,18036,18188,17736,19667,20104,20272,25419,27868
117,16255,17714,16837,18224,17539,18995,18222,19669,19920,20581,25119,25716
118,16412,17871,17103,18026,17588,19065,18367,19325,20078,20152,25352,25588
119,16565,16980,18826,17501,18018,19282,18504,19673,19594,20529,25278,25831
120,17446,16349,18352,18940,20091,18984,19423,20847,21804,21251,29706,26704
121,16980,16130,19042,17281,18697,19295,19109,19419,20125,20891,25663,25672
